红细胞呈钱串状,高蛋白血症
眼睑闭合障碍,眼睑闭合不全,兔眼
痛引肩背,肩背痛
肝脏病变弥漫,肝纤维化
乙肝大三阳,大三阳
跌倒发作,无动作性发作,失张力发作
水湿不运,水湿停留,水肿
包皮水肿,包皮肿，阴茎头包皮炎
无法引出moro反应,莫罗反射，惊跳反射
浑身酸痛,全身酸痛
牙齿萌出异常,牙齿发育过迟过早
心前区隆起,心前区
中风偏瘫,风痱
杵状指（趾）,肥大性肺骨关节病
胸部紧迫或束带感,胸部紧迫
内容难以听清的自言自语,独语症
面部叩击征,Chvostek征阳性
口渴引饮,烦渴引饮
陶瑟征阳性,Trousseau征阳性
应激功能减退,应激障碍
眼睑闭合不全,兔眼
眩闷口眼偏斜,眩闷口眼歪斜
白带发黄,白带异常
学习困难,学习障碍
肝癖,肝痞,肝痞
意识改变状态,意识转换状态
糖尿,葡萄糖尿
疤痕萎缩凹陷,萎缩性疤痕
下肢浮肿,下肢水肿
四肢乏力,四肢俱软
疱疹,热疮
骨增粗,骨增厚
吞咽困难,咽下困难
打呼噜,鼾症,打鼾,睡眠呼吸暂停综合症
心房内形成混合血,心房混合血
手心发热,手心热
选择恐惧症,选择困难症
心功能失代偿,心力衰竭
恶臭便,恶臭脂肪便
异常体位所致的窒息,体位性窒息
角膜干燥斑,毕氏脱
无运动或感觉障碍的运用不能,失用症
心包积液体征,Ewart征.
胃胀,心胃胀满,胃胀
怕冷,畏寒
微循环灌注不良,微循环灌注障碍
以头昏为主的眩晕,一般性眩晕
潮式呼吸,陈-施呼吸
遗精滑泄,遗精滑精
尿暗黑色,暗褐色尿
舌肌麻痹,舌歪斜
过敏性皮炎,过敏性皮肤炎症
虚烦,虚热症
自恋,水仙花,纳喀索斯症,影恋
泌尿系统感染,泌尿系感染
过劳死,过劳
红鼻子,玫瑰痤疮
站立久后的浮肿,体位性浮肿
假期综合症,节后综合症
广泛性骨质疏松,骨质疏松
呼吸异常,异常呼吸
呼吸功能衰竭,呼吸衰竭
眼袋,眼睑肥厚
胸膜毛细血管通透性增加,血管通透性增高
面赤如涂朱,面红
喃喃重复自语,词语性自动症
胆囊触痛征,墨菲征
大便黑色,黑便
痣细胞,痣细胞痣
弯曲不利,关节僵硬
脾胃虚弱,脾胃气虚
食毛后导致的胃肠道症状,食毛癖
部位不定的疼痛,游走性疼痛
攻击行为,侵犯行为
水冲脉,陷落脉
马蹄外翻足,先天性畸形足
印堂发黑,阙中发黑 
情绪低落,情绪抑郁
瘙痒,痒风,刀癣,风瘙痒
非玻璃体的病变眼前飞蚊,先天性生理性飞蚊症
白头粉刺,封闭型粉刺，不安定型粉刺
慢性肾衰竭,慢性肾衰竭
阑尾腔闭塞,阑尾腔梗阻
乳汁分泌减少,少乳
牙龈肿痛,齿龈肿痛
肌性肌无力,肌营养不良症
睡觉时突然抽搐一下,间歇性神经颠动
指甲异常,灰指甲,鸡爪风,油灰指甲,甲癣
气血不足,气血虚弱
内热晡热,日晡潮热
爪甲青紫,爪甲不荣
眼睛胀痛,目珠胀痛
精神依赖性,心理依赖性
梅毒牙,半月形门齿
疲劳,疲乏
构音障碍,构音困难
烂眼边,睑弦部潮红溃烂
侧卧时位于下侧鼻腔出现鼻塞,交替性鼻塞
烂嘴角,口角皲裂
全身骨骼肌收缩,抽筋
性上瘾,强迫性性行为
骨转移,癌症骨转移
牙疼,牙痛,牙齿疼痛
胞轮振跳,眼睑痉挛,眼皮跳.眼眉跳
昏睡病,昏冒
心音异常,异常心音
视物模糊,雾视
颧红,颧赤
关节韧带松弛或肌张力低,g
啤酒肚,罗汉肚
舌胖有齿痕,齿痕舍
耳溢液,耳漏
肝腹水,肝硬化腹水
鼻内发痒,b
鼻屎多,鼻痂
不偏向一侧，无旋转的眩晕,假性眩晕
心肌顿抑,缺血后心肌功能障碍
闭袢性肠梗阻,b
恋兽癖,恋兽型性变态
睡眠时睑闭合不全,睁眼睡觉
胸廓异常,异常胸廓
白带有血丝,白带带血
进食流泪,味觉性流泪
运动气喘,劳动后气喘
瞳孔如锯齿或梅花状,瞳神干缺
心脏骤停,心脏突然停止
便血,清血，圊血
局部软组织浸润,局部软组织渗透
念珠菌感染,念珠菌阴道炎,霉菌性阴道炎
下腹压痛,下腹部压痛
头皮痒,头皮瘙痒
不良建筑综合征,病态建筑物综合症
胃疼,胃脘痛,胃痛
打呼噜,打鼾,鼾症
倒睫,拳毛倒睫
阑尾感染,切口感染
关节僵直,关节活动障碍
眼屎多,眼部分泌物多
Todd瘫痪（遗留暂时性局部肢体的瘫痪或无力）,Todd麻痹
心力贮备减少,心脏泵血功能的贮备
流口水,口涎外溢
红眼,传染性结膜炎
妊娠纹,白线，白纹，膨胀纹，膨胀性萎缩纹
皖腹痞闷,脘腹痞闷
胸腺高度萎缩,胸腺萎缩
眼球垂直运动障碍,辐辏障碍
肌肤甲错,肌若鱼鳞
喉肌无力,声带肌无力
奇脉,吸停脉
肾上腺皮质激素,皮质激素升高,类皮质激素
眼球不能随意动,眼球运动障碍
梦游,梦游症
紫绀,发绀
锥体束病损,阳性锥体束征
甲亢面容,恐怖状面容
向心性肥胖,中心型肥胖
习惯性流产,滑胎
产前抑郁,孕妇抑郁
老年人非病变性眼前飞蚊,老年性生理性飞蚊症
门诊高血压,白大衣性高血压
鱼鳞痣,寻常疣,刺瘊 
静脉曲张,炸筋腿
儿童精神运动发育异常,Rett综合征
窜痛,走窜痛,游走痛
胡子稀疏,胡须稀疏
成人多动症,成年轻微脑功能障碍
胸降主动脉严重狭窄,胸主动脉阻塞
颈肩疲劳和软组织疼痛,颈肩综合症
上列牙痛,牙痛
胎样心音,钟摆律,胎心律
一过性昏厥,单纯性、血管神经性昏厥
罗圈腿,O形腿,弓形腿
肠鸣欲便,c
小便带血,尿血
骨内损害,骨内微循环损害
眼前冒紫烟,紫视
假性前房积脓,黄液上冲
行走时发生腓肠肌麻木,腓肠肌麻木
管性呼吸音,异常支气管呼吸音
瞳子高,目睛上视
感觉分离,分离性感觉障碍
流鼻血,鼻衄
癌性疼痛,癌痛
胸廓畸形,漏斗胸
胃肠功能不良,胃肠功能障碍，胃肠功能神经官能症
心脏猝死,心脏性猝死
拉肚子,腹泻
血浆胆固醇水平高,血浆胆固醇
压迫瘘口试验,Branham-Nicoladoni征
颈部囊性病变,囊状水瘤
脊髓休克,脊休克
心脏复苏,心脏复元
小便淋漓,小便不尽
肝区痛,肝区疼痛，肝脏疼痛
骨裂,裂纹骨折
痘印,痘疤
关节疼痛,关节痛
心脏功能突然失代偿,心功能失代偿
大便习惯改变,大便无规律
HIV感染,人类免疫缺陷病毒感染
内向性思维,非现实性思维
慢性中毒,潜在中毒
耳廓牵拉疼,耳廓牵引痛
皮肤不仁,皮肤麻木
粘液性水肿面容,甲状腺功能减退面容
心肌细胞的浊肿,心肌浊肿
器质性心脏病,心室肥大
干胁痛,纤维素性胸膜炎
阴虚体质,阴虚质
新生儿拉肚子,新生儿腹泻
口燥咽干,咽干口燥
孕期烧心,孕期胃灼痛
假性宫缩,迁延宫缩,布拉克斯顿&#183;希克斯收缩
眼皮跳,眼睑痉挛
蛙状腹,蛙形腹
肚子疼,腹痛
骨盆痛,骨盆疼痛综合征
精神创伤,心理创伤
夜惊,睡惊
血管迷走性晕厥,血管迷走神经性晕厥
核黄疸,胆红素脑病
疾脉,急脉
骨髓象改变,骨髓象异常
共济失调,运动失调症
发烧,发热
手足厥冷,四肢逆冷,手足逆冷,四肢厥逆
甲周炎,沿爪疔
心脏重量增加,心脏重了
甲状旁腺功能亢进,甲旁亢
排卵期出血,月经中期出血 
鲜红斑痣,葡萄酒样痣,毛细血管扩张痣
心脏结构异常,心脏结构不正常
善悲,喜悲
鼻干,鼻燥,鼻干燥
血流动力学障碍,血流障碍
胸痛,胸部疼痛
鼻子红血丝,鼻子毛细血管扩张
恋足癖,迷恋足部或鞋袜
内分泌功能亢进,激素分泌过多
言语紊乱,语言障碍,言语紊乱,言语病
血清甘油三酯,血清TG水平升高
颜面潮红,脸部潮红
异位钙化,异位骨化
心脏淤积淀粉样物质,心脏淤积淀粉
肌衄,紫斑
爬山后小腿疼,腓肠肌痉挛
体型异常,异常体型
胃肠道功能不好,胃肠道功能紊乱
足痛,脚痛
抽搐,抽筋
机械地重复周围人的言语或行为,模仿语言或模仿动作
局部淋巴结肿大,局部淋巴结体积增大
思维松弛,思维散漫
塌鼻梁,鞍鼻
思维控制异常,思维被夺
口渴喜饮,烦渴多饮
四肢洒洒如疟,四肢疼痛无力
小儿流口水,小儿流涎多
血管性水肿,巨大荨麻疹
习惯性便秘,脾约
邪恋正虚,正虚邪恋
无瘙痒，无肝胆疾病的皮肤黄染,假性黄疸相
产后痔疮,c
开放性骨折,露出骨头的骨折
小儿青盲,皮质盲
心悸,心慌
异源性ACTH,异源性ACTH综合证
菱形-现象,A-V综合征
神经痛,痛性抽搐
静脉豆,静脉窦
哭泣样尖叫,脑性尖叫
小三阳,非活动性HBsAg携带者，HBeAg阴性慢性乙型肝炎
心脏毒性作用,心脏毒性
脑干出血,桥脑出血
讷吃,发音困难
身体的低垂部位水肿,低垂性水肿
一过性全面性遗忘,伴有遗忘的精神错乱
命名性失语,健忘性失语
抬肩以助呼吸,肩息
扁桃体上有灰色膜,扁桃体伪膜
身痛,躯体痛，内脏痛，心因痛，多处疼痛
流感样症状,流感样综合征
产后全身酸痛,产后身痛，产后关节痛
拥抱反射消失,惊跳反射消失
限局性巩膜膨隆肿物,后巩膜葡萄肿
发际作痛,少阳作痛
血精,精血
内分泌功能减退,激素分泌过少
一侧乳头萎缩，另侧水肿,福斯特-肯尼迪综合征
心理性性功能障碍,非器质性性功能障碍
休克较久后的肺部病变,休克肺
巅顶疼痛,巅顶痛,顶巅痛
脚麻,脚发麻
耳漏,脂溢性
孕产妇腰痛,产后骶骨痛
阴道分泌物增多,白带分泌增多
呼吸衰竭,呼衰
下痢赤白粘冻,赤白痢
新生儿发绀,新生儿紫绀
手足逆冷,手足厥冷
多食,食量增加
晕轮效应,光环效应
孕妇全身性水肿,妊娠中毒性水肿
食欲异常,异常食欲
腰椎骨质增生,腰长骨刺
始于眼部，扩张开来的面头痛,血管扩张性头痛，植物神经性面头痛
霉菌感染,念珠菌性阴道炎
失眠,入睡和维持睡眠障碍
马凡氏综合征,蜘蛛指
肌张力降低,肌张力不够
口、眼、生殖器损害,三陪在征
津液亏损,虚脉
女性性器官反应缺乏,女性性唤起障碍
胎痣,血管痣
胰腺外分泌功能不良,胰腺外分泌功能不全
打喷嚏,打嚏喷
肥胖,脂肪过多症,脂肪过多
豆腐渣样白带,豆腐渣白带，凝乳样白带
痰湿,迟冷质
尿道平滑肌松弛,尿道括约肌松弛
肺含水量增加,肺部水肿
睾丸萎缩,子萎
舌无力且不能随意伸缩回旋。,痿软舌
脉来弦象,弦脉,脉弦
乳头溢出血性或棕色浆液性液体,乳衄
幻觉,幻想,错觉
水肿,积水
水泡,水疱
心脏排血受阻,心脏排血不正常
下肢淋巴水肿,象皮腿
鼻塞排出脓性或血性分泌物,鼻腔排除脓性或血性分泌物
弛张热,败血症热型
月经推迟,经期推迟
眼-头反射消失,头眼反射消失
尿隐血,尿潜血
低烧,低热
瞳孔异常,异常瞳孔
性发育慢,性幼稚
眼睑浮肿,眼睑水肿
气息异常,异常气息
早衰症,外貌苍老
定位体征,神经系统定位
运动性失语,表达性失语
左侧卧时右腰呈空音，右侧卧时左腰呈浊音,Ballance征
腹水,腹部积水
稽留流产,过期流产,死胎不下
宫颈囊肿,纳氏腺囊肿
抽筋,抽搐,痉挛
瘟暑,瘟暑湿
鼻腔不能关闭引起的鼻音,开放性鼻音
心肌坏死广泛,心肌梗死
小肠细菌过度生长,盲襻综合征
孕妇发烧,妊娠发热
急性肾衰竭,急肾衰
精神过敏,神经过敏
眼嘴的细小皱纹,假性皱纹
心脏僵硬,心脏硬化
绷急疼痛,紧绷疼痛
吐逆滑泄,吐逆滑泻
脾阳虚,脾阳虚衰
血流过度,血流过多
体位性低血压,直立性脱虚
毛发异常,毛发脱落,秃发,多毛症
梅毒性角膜炎,实质性角膜炎
心肌冬眠现象,心肌冬眠
瞳孔中能见到白色反光,白瞳征
气虚体质,气虚质
阑尾缺血充血,阑尾流血出血
颌骨膨隆,颌骨异常
便血,大便出血,大便带血,大便有血
